Loading parameters
setup BBS restraint: CustomExternalForce
setup COM res: CustomCentroidBondForce
Using platform: CUDA
Update BBS box span
Natom for fc_wall =  496

Initial system energy
-916648.1035408564 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1392.0%	3480000	11295.000000449254	-912292.1126355808	297.812949337078	91.2	20:35:56
1392.2%	3480500	11297.000000449661	-913480.8016167595	298.63430192784625	91.1	20:35:44
1392.4%	3481000	11299.000000450069	-914252.6609015744	297.8992583392264	91.1	20:35:48
1392.6%	3481500	11301.000000450476	-916871.8826094908	298.9878213836063	91.2	20:35:52
1392.8%	3482000	11303.000000450884	-916612.8601614935	299.4576262086006	91.1	20:35:39
1393.0%	3482500	11305.000000451291	-914690.9699692233	298.8135658929171	91.1	20:35:43
1393.2%	3483000	11307.000000451699	-915519.6890636608	297.8166872160924	91.2	20:35:47
1393.4%	3483500	11309.000000452106	-915949.7689190619	298.7288296740821	91.1	20:35:34
1393.6%	3484000	11311.000000452514	-915880.4282553894	298.73031597394225	91.1	20:35:38
1393.8%	3484500	11313.000000452921	-915340.6718566893	299.56897310074027	91.2	20:35:42
1394.0%	3485000	11315.000000453329	-916109.4324696949	297.5695049322639	91.1	20:35:29
1394.2%	3485500	11317.000000453736	-915382.0011250973	298.7213798792975	91.1	20:35:32
1394.4%	3486000	11319.000000454143	-917208.5514320452	298.67257866290834	91.2	20:35:36
1394.6%	3486500	11321.00000045455	-916483.5227541449	298.9417130248771	91.2	20:35:40
1394.8%	3487000	11323.000000454958	-918027.9987585032	299.46172023677667	91.2	20:35:28
1395.0%	3487500	11325.000000455366	-915451.3291796832	299.88218525080225	91.2	20:35:31
1395.2%	3488000	11327.000000455773	-915128.2873351835	299.1866183840239	91.2	20:35:35
1395.4%	3488500	11329.00000045618	-916858.6903430717	297.6882928491978	91.2	20:35:23
1395.6%	3489000	11331.000000456588	-916683.7354975329	298.3459456557268	91.2	20:35:26
1395.8%	3489500	11333.000000456996	-915126.7580923312	297.98890673806113	91.2	20:35:30
1396.0%	3490000	11335.000000457403	-915774.6433628127	300.02378720699164	91.2	20:35:18
1396.2%	3490500	11337.00000045781	-916742.3231805181	297.22314466389975	91.2	20:35:22
1396.4%	3491000	11339.000000458218	-917016.1148176538	299.05467403073783	91.1	20:35:09
1396.6%	3491500	11341.000000458625	-916759.5659742663	299.40541435057787	91.2	20:35:13
1396.8%	3492000	11343.000000459033	-917515.6845448245	298.32720463625475	91.2	20:35:16
1397.0%	3492500	11345.00000045944	-915157.5270202272	298.18557187429667	91.2	20:35:20
1397.2%	3493000	11347.000000459848	-916451.5259261113	297.37655812311914	91.2	20:35:09
1397.4%	3493500	11349.000000460255	-916257.8958034255	298.6215153800978	91.2	20:35:12
1397.6%	3494000	11351.000000460663	-918051.9291132553	297.0336829075043	91.3	20:35:15
1397.8%	3494500	11353.00000046107	-915751.4638839606	297.9455473106496	91.2	20:35:04
1398.0%	3495000	11355.000000461478	-916134.3623709697	298.2873264005014	91.2	20:35:08
1398.2%	3495500	11357.000000461885	-915857.0622393917	297.1121339828596	91.3	20:35:11
1398.4%	3496000	11359.000000462293	-915001.6031974871	299.65676138083023	91.2	20:35:00
1398.6%	3496500	11361.0000004627	-916947.1955929534	300.29414194884674	91.2	20:35:03
1398.8%	3497000	11363.000000463107	-916089.8193434351	297.8582950311442	91.2	20:34:51
1399.0%	3497500	11365.000000463515	-916241.3621535874	297.32974557515024	91.2	20:34:55
1399.2%	3498000	11367.000000463922	-916290.1464720909	296.62742650578997	91.2	20:34:58
1399.4%	3498500	11369.00000046433	-916646.0298120403	298.91234971232876	91.3	20:35:01
1399.6%	3499000	11371.000000464737	-918042.2942623254	299.48283680798136	91.2	20:34:50
1399.8%	3499500	11373.000000465145	-916253.922684445	298.39687049323044	91.2	20:34:53
1400.0%	3500000	11375.000000465552	-916267.1391192302	297.23048966747365	91.1	20:34:31
1400.2%	3500500	11377.00000046596	-915414.0845332057	296.99579467418374	91.1	20:34:34
1400.4%	3501000	11379.000000466367	-914901.8356190417	297.0631852598858	91.2	20:34:38
1400.6%	3501500	11381.000000466775	-915492.5935400319	298.53455657066286	91.1	20:34:27
1400.8%	3502000	11383.000000467182	-916117.1589370114	298.66529749494856	91.1	20:34:30
1401.0%	3502500	11385.00000046759	-915507.7773807505	298.37944331668876	91.2	20:34:33
1401.2%	3503000	11387.000000467997	-917501.4363335446	299.04121753403416	91.1	20:34:22
1401.4%	3503500	11389.000000468404	-915916.5411786707	297.5845516817761	91.2	20:34:25
1401.6%	3504000	11391.000000468812	-914971.9919031328	298.0315804761288	91.2	20:34:28
1401.8%	3504500	11393.00000046922	-916563.4799665753	297.71457389444873	91.1	20:34:16
1402.0%	3505000	11395.000000469627	-916869.9193950947	297.909776632215	91.2	20:34:19
1402.2%	3505500	11397.000000470034	-917806.1455658684	299.5565051376858	91.2	20:34:22
1402.4%	3506000	11399.000000470442	-915945.2522914861	298.06461257933347	91.2	20:34:25
1402.6%	3506500	11401.000000470849	-915530.004720672	298.24955078456	91.2	20:34:14
1402.8%	3507000	11403.000000471256	-917109.9343566233	298.7647591403568	91.2	20:34:17
1403.0%	3507500	11405.000000471664	-916983.8587794602	298.5831748245538	91.1	20:34:06
1403.2%	3508000	11407.000000472071	-914410.7802621941	297.7553198194958	91.2	20:34:08
1403.4%	3508500	11409.000000472479	-916736.6367538655	298.64550093108295	91.2	20:34:11
1403.6%	3509000	11411.000000472886	-914727.6457755743	297.91604216749096	91.2	20:34:14
1403.8%	3509500	11413.000000473294	-915693.7833285602	298.51778003258414	91.2	20:34:04
1404.0%	3510000	11415.000000473701	-916552.5578266224	298.28749859553466	91.2	20:34:07
1404.2%	3510500	11417.000000474109	-916289.4988895832	298.90387218502264	91.2	20:34:10
1404.4%	3511000	11419.000000474516	-916075.0057159867	298.29648917301347	91.2	20:34:00
1404.6%	3511500	11421.000000474924	-915208.6549215084	298.7923674677889	91.2	20:34:03
1404.8%	3512000	11423.000000475331	-917249.5774559625	299.55980525337395	91.2	20:34:05
1405.0%	3512500	11425.000000475738	-915678.3405170841	300.57785546977766	91.2	20:33:55
1405.2%	3513000	11427.000000476146	-913722.9610456713	299.00879357156606	91.2	20:33:58
1405.4%	3513500	11429.000000476553	-915833.7499856502	296.61582827582674	91.2	20:33:47
1405.6%	3514000	11431.00000047696	-916398.190780391	297.32582237750256	91.2	20:33:49
1405.8%	3514500	11433.000000477368	-914915.0987104657	298.68277366681207	91.2	20:33:52
1406.0%	3515000	11435.000000477776	-916824.627185226	297.5404217249978	91.3	20:33:55
1406.2%	3515500	11437.000000478183	-914381.0912644058	298.23891464092225	91.2	20:33:45
1406.4%	3516000	11439.00000047859	-916648.4379202267	298.68642660982186	91.2	20:33:47
1406.6%	3516500	11441.000000478998	-917563.7114649932	298.2372452589511	91.2	20:33:37
1406.8%	3517000	11443.000000479406	-915885.8587837745	297.4940904290529	91.2	20:33:39
1407.0%	3517500	11445.000000479813	-916404.2255061418	298.539758863209	91.2	20:33:42
1407.2%	3518000	11447.00000048022	-915153.1329019992	298.4947464318955	91.3	20:33:44
1407.4%	3518500	11449.000000480628	-916084.4424400548	299.5457209616092	91.2	20:33:34
1407.6%	3519000	11451.000000481035	-914204.3259726623	297.4856426138371	91.2	20:33:37
1407.8%	3519500	11453.000000481443	-915350.8067316157	298.73232046166777	91.3	20:33:39
1408.0%	3520000	11455.00000048185	-914905.0164668448	297.9483253847889	91.2	20:33:29
1408.2%	3520500	11457.000000482258	-916241.659358453	298.70822424650595	91.2	20:33:32
1408.4%	3521000	11459.000000482665	-916936.4100694694	297.49549935232056	91.3	20:33:34
1408.6%	3521500	11461.000000483073	-914623.9652198111	298.3338711486701	91.2	20:33:24
1408.8%	3522000	11463.00000048348	-915058.770704913	299.05711876969804	91.2	20:33:27
1409.0%	3522500	11465.000000483888	-914508.8786497535	298.3765125512601	91.3	20:33:29
1409.2%	3523000	11467.000000484295	-914844.4499318446	296.6437517574995	91.2	20:33:19
1409.4%	3523500	11469.000000484702	-916241.5132634221	297.3377028552866	91.2	20:33:22
